标注说明：,,,,,,,,,,,,,,,
无用：0,,,,,,,,,,,,,,,
正面：1,,,,,,,,,,,,,,,
负面：2,,,,,,,,,,,,,,,
中性：3,,,,,,,,,,,,,,,
正面、负面均为有用评论,,,,,,,,,,,,,,,
分工,序号,评论ID,用户昵称,用户ID,评论内容,发布时间,点赞数,是否为子评论,父评论ID,爬取时间,来源文件,来源工作表,读取时间,标注,分工.1
蔡欣颖,1228,246399000000.0,KG凯哥哥,397735925.0,想赚钱了?,2024-11-06 07:31:51,0,否,,2026-01-21 12:37:12,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (9),2026-01-21 14:24:38,0.0,蔡欣颖
蔡欣颖,180,284636000000.0,芬芬LOVE华,3546900000000000.0,怎么报名？,2025-12-07 14:04:09,2,是,282701000000.0,2026-01-21 12:29:55,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (13),2026-01-21 14:24:38,0.0,蔡欣颖
蔡欣颖,2417,263725000000.0,卖蘑菇的小火柴゛,43650945.0,国家规定，电动车自行上牌要求，不能大于48v，整车重量（包括电池在内）不能超过55kg，行驶过程中超过15km/h要发滴滴声。,2025-05-25 13:27:39,0,否,,2026-01-21 12:23:36,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (8),2026-01-21 14:24:38,3.0,蔡欣颖
蔡欣颖,402,284541000000.0,青城醉,177752029.0,这要是磕一下，坐垫和车分离，人不得摔了,2025-12-06 16:49:05,1,否,,2026-01-21 13:07:11,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (5),2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,747,270208000000.0,bili_76631189619,514770604.0,"我还碰过一大堆电动车乌龟[笑哭]我骑电动车在非机动车道上硬是被前面逼的只有18km/h我都恨不得下来推着走问题是前面压根就没什么事，要么是两个电动车并排在那聊天不管后面的车 要么就是开的超级慢（真的比18km/h还慢的都有）的慢车并排，那个非机动车道可是有足足两个车道那么宽居然还能堵半天
还有那群逆行远光狗，大晚上逆行还开远光是真cs",2025-07-27 02:24:57,5,否,,2026-01-21 12:52:54,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (11),2026-01-21 14:24:38,2.0,蔡欣颖
蔡欣颖,254,284486000000.0,好玩爱玩你玩不玩,3546740000000000.0,6，自己欠了钱从这里赚是吧？,2025-12-06 01:37:31,2,否,,2026-01-21 12:48:39,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (12),2026-01-21 14:24:36,2.0,蔡欣颖
蔡欣颖,3384,262779000000.0,゙゚゙゚゚゙゙゚゙゚,278456760.0,如果摩托车电动车不搞这么多限制怎么能让你去买电车[吃瓜],2025-05-26 00:24:10,1,是,262776000000.0,2026-01-21 12:27:12,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (8),2026-01-21 14:24:36,2.0,蔡欣颖
蔡欣颖,499,244652000000.0,faxlvf42,317024613.0,说支持的人有没有脑子，电池和车内芯片有协议知不知道意味着什么，意味着你电鸡的电瓶坏了只能去指定的店去换电池，因为只有那里的电池能适配，里面有多少水分用你那平滑的大脑想想，跟现在手机私有的快充协议一样恶心,2024-10-15 15:22:40,25,否,,2026-01-21 12:40:36,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据,2026-01-21 14:24:35,2.0,蔡欣颖
蔡欣颖,3106,263825000000.0,阁下楼满风,250496843.0,48以上都是摩托车,2025-05-26 16:14:25,0,是,262820000000.0,2026-01-21 12:26:06,B站评论_BV1rTjtzgEHM_20260121_122941.xlsx,评论数据,2026-01-21 14:24:40,3.0,蔡欣颖
蔡欣颖,882,117338000000.0,尤同学很专注,1489304330.0,[支持],2022-06-18 20:41:35,0,是,117317000000.0,2026-01-21 12:09:47,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (3),2026-01-21 14:24:35,1.0,蔡欣颖
蔡欣颖,86,282515000000.0,快乐书中,240125492.0,就是逼着你买汽车，电瓶车好用你就不会买汽车了,2025-12-05 18:19:37,34,是,284437000000.0,2026-01-21 12:30:49,B站评论_BV1cZ2YB1Ee3_20260121_123328.xlsx,评论数据,2026-01-21 14:24:38,2.0,蔡欣颖
蔡欣颖,340,269042000000.0,武田信,817381.0,医院都不让职工停了。。全都停门口堵着了,2025-07-27 12:39:14,4,是,269042000000.0,2026-01-21 12:52:17,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (11),2026-01-21 14:24:36,3.0,蔡欣颖
蔡欣颖,3245,262796000000.0,要记得忘记呀,24593389.0,非税收收入增长约7%,2025-05-26 09:18:12,0,否,,2026-01-21 12:26:36,B站评论_BV1rTjtzgEHM_20260121_122941.xlsx,评论数据,2026-01-21 14:24:40,0.0,蔡欣颖
蔡欣颖,475,124805000000.0,风天扬,10453906.0,回复 @尤胜亮说 :up莫不是柳州的？,2022-08-09 12:59:07,1,是,124793000000.0,2026-01-21 12:08:45,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (3),2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,858,282300000000.0,御坂·旅挂,70794.0,设计原理是没有塑料不会烧？,2025-12-03 12:12:32,0,否,,2026-01-21 13:08:59,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (5),2026-01-21 14:24:37,3.0,蔡欣颖
蔡欣颖,3230,128703000000.0,虎牙上的菜花,479200268.0,新国标确实有不好的地方但是还有个事实就是目前续航里程足够大足够长且电池性能安全稳定的电动车企业只有扳着指头都能数的过来的那么几家，假设村里的人不懂电动车性能品牌知名度和电池安全性的话，如果没有新国标的限制，大牌车企的车子又很贵，万一他们图便宜买到小众品牌，电池技术没那么安全稳定的电动车就很容易发生安全事故，要知道24A的电池如果使用不当造成起火爆炸是妥妥没问题能炸死人的,2022-09-04 08:00:07,0,否,,2026-01-21 12:16:22,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (3),2026-01-21 14:24:37,3.0,蔡欣颖
蔡欣颖,764,126675000000.0,尤同学很专注,1489304330.0,哈哈,2022-08-21 10:54:41,0,是,126662000000.0,2026-01-21 12:09:31,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (3),2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,717,274755000000.0,最后功略,108407521.0,限速一样能改，在农村开，就不怕被查车,2025-09-01 08:14:39,1,是,274755000000.0,2026-01-21 12:55:05,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (4),2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,1675,246126000000.0,于夜雨中独饮,15048392.0,没事的，我欢迎，说难听点，上有政策下有对策，就跟以前买车，青年人去默认给你解限速一样，新国标的时候各种车型带脚蹬，现在说的这个实行了怕不是也有解北斗的地方[tv_白眼]还是那句话，上有政策，下有对策[doge],2024-11-06 12:34:48,0,否,,2026-01-21 12:38:54,B站评论_BV1uNDhYBERK_20260121_123942.xlsx,评论数据,2026-01-21 14:24:40,2.0,蔡欣颖
蔡欣颖,807,273349000000.0,滨洲苌,418434286.0,去考个E照不啥都解决了？既要又要，我开摩托车不也啥都没说[吃瓜],2025-08-31 15:18:32,4,否,,2026-01-21 12:55:16,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (4),2026-01-21 14:24:35,3.0,蔡欣颖
蔡欣颖,604,273506000000.0,司马玄穹,3493260000000000.0,回复 @我可不是老傻子 :送外卖的和那些闪送骑手用的改装车连个车牌都没有，撞了人就往巷子里钻，你到哪去抓人？,2025-09-02 10:35:33,1,是,274690000000.0,2026-01-21 12:54:50,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (4),2026-01-21 14:24:37,2.0,蔡欣颖
蔡欣颖,600,284295000000.0,想做的更好的酸奶喵,1621455133.0,真不如自行车又垃圾又贵,2025-12-04 07:05:46,0,否,,2026-01-21 13:07:57,B站评论_BV1M8S1BPERN_20260121_130914.xlsx,评论数据,2026-01-21 14:24:39,2.0,蔡欣颖
蔡欣颖,715,284405000000.0,天若有情晨曦,433445225.0,这叫你们赶快去买烧油的踏板,2025-12-05 10:59:42,0,否,,2026-01-21 12:50:21,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (12),2026-01-21 14:24:36,2.0,蔡欣颖
蔡欣颖,1912,117779000000.0,尤同学很专注,1489304330.0,哈哈（⌒▽⌒）,2022-06-22 10:00:29,0,是,117776000000.0,2026-01-21 12:12:30,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (3),2026-01-21 14:24:35,0.0,蔡欣颖
蔡欣颖,643,262857000000.0,快乐是--什么--,1928326559.0,回复 @youger123 :所以哪条法律规定不能放60V的？,2025-05-26 23:05:13,2,是,263723000000.0,2026-01-21 12:17:37,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (8),2026-01-21 14:24:38,3.0,蔡欣颖
蔡欣颖,297,282245000000.0,狸猫包子,2814868.0,下坡滑行超过25码的好像也会自动刹[脸红][脸红],2025-12-02 19:41:53,2,否,,2026-01-21 12:43:55,B站评论_BV1Y5SCBiE8M_20260121_124623.xlsx,评论数据,2026-01-21 14:24:40,3.0,蔡欣颖
蔡欣颖,2480,263716000000.0,GalacticNoise,24607835.0,我就不明白，这里面是按流程告知你有这样的政策针对，告诉你下次注意规避，别让交警难做，也把法条和出租方的擦边性质告诉你了，还想怎么样？薅什么羊毛了，要我说这就是执法最人性的地方了，不然视而不见，下次遇到大检查再逮住直接罚，是不是薅羊毛？,2025-05-25 11:50:42,0,否,,2026-01-21 12:23:51,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (8),2026-01-21 14:24:38,1.0,蔡欣颖
蔡欣颖,1423,244648000000.0,星空椛火,3290117.0,其实这东西就不适合做国标，搞地方标准就哈，每个地方都不一样的。,2024-10-15 13:56:31,2,否,,2026-01-21 12:43:05,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据,2026-01-21 14:24:35,3.0,蔡欣颖
蔡欣颖,49,283033000000.0,挞挞乱说话,3546780000000000.0,不如自行车的电动车发明出来干什么？并且还卖4000多，光这一点自行车就已经暴打这种新国标[笑哭]而且也没有后座，难道你让那些接送孩子的老年人让孩子躺着吗，而且你多个孩子的要摞在一起吗？只能说这种事变本加厉的让人买电摩或小轿车,2025-12-11 00:49:05,0,否,,2026-01-21 13:06:27,B站评论_BV1QH2VBBE3i_20260121_130627.xlsx,评论数据,2026-01-21 14:24:39,2.0,蔡欣颖
蔡欣颖,237,115365000000.0,风聆雾语,18291360.0,所以给新国标电动车上牌，开车要学习，要遵守法规，超速闯红灯要罚款扣分，电动自行车没有约束，逆行超速不遵守交通法的行为比比皆是，所以不能控制人只能从源头上控制车了,2022-06-03 07:14:40,18,否,,2026-01-21 12:08:18,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (3),2026-01-21 14:24:37,3.0,蔡欣颖
蔡欣颖,10,282467000000.0,再躺亿会儿-,135443261.0,小偷见了都吐口水，感觉职业被侮辱了。,2025-12-05 07:33:51,90,是,282453000000.0,2026-01-21 12:46:27,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (6),2026-01-21 14:24:37,2.0,蔡欣颖
蔡欣颖,538,263683000000.0,嘤llabkaoo,416369133.0,合法合规[doge],2025-05-24 23:45:47,18,否,,2026-01-21 12:17:32,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (8),2026-01-21 14:24:36,0.0,蔡欣颖
蔡欣颖,794,246507000000.0,布的模,3546570000000000.0,我这边的车子都是时速25[藏狐],2024-11-07 15:00:16,0,否,,2026-01-21 12:35:29,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (9),2026-01-21 14:24:36,0.0,蔡欣颖
蔡欣颖,524,246403000000.0,账号已注销,443895340.0,up的小电驴被没收了做出来的视频[微笑],2024-11-06 08:54:38,1,否,,2026-01-21 12:34:33,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (9),2026-01-21 14:24:36,0.0,蔡欣颖
蔡欣颖,2567,115394000000.0,蒂梵妮oio,521183256.0,回复 @nmk97 :好好说话，意气倒是畅快，解决问题吗？,2022-06-03 12:35:15,1,是,115352000000.0,2026-01-21 12:13:54,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (3),2026-01-21 14:24:35,3.0,蔡欣颖
蔡欣颖,475,282409000000.0,黎黎黎黎黎玥,470036360.0,蚌埠住了，八个月前我是在共同关注上看着法规出台的，当时就觉得以后一定会被吐槽,2025-12-04 15:54:35,1,否,,2026-01-21 13:07:27,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (5),2026-01-21 14:24:35,3.0,蔡欣颖
蔡欣颖,915,246460000000.0,又搞砸了呀,1855463005.0,限速有用吗？该闯红灯的闯红灯，该逆行的逆行，有招吗？,2024-11-06 22:15:40,0,否,,2026-01-21 12:36:00,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (9),2026-01-21 14:24:38,3.0,蔡欣颖
蔡欣颖,423,262700000000.0,鬼之魇1,327754382.0,额定电压与实际电压。举个例子，48v的铅酸电池，满电53.5V左右，最低可以用到42V（即单节电池10.5V）。锂电池的规格更多，有52v、54.6V（常用国标锂电）、58.8v；60V锂电有67.2V，71.4V（常见三元锂），73V等等。,2025-05-25 07:35:12,1,是,262673000000.0,2026-01-21 12:17:22,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (8),2026-01-21 14:24:36,3.0,蔡欣颖
蔡欣颖,1811,274913000000.0,Kingber丷,172449020.0,告诉我生产商是怎么造出来，然后合法合规经营，最后卖出去的，告诉我这个就行了[doge][doge][doge][doge][doge],2025-09-02 22:42:31,0,否,,2026-01-21 12:58:44,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (4),2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,437,274730000000.0,我是你王蜀黍啊,347143040.0,回复 @axcrta :谁说不让用锂电池了？锂电池限制整车55kg，铅蓄电池放宽至63kg，都是新规调查民意后的的人性化改动，自己不去了解张嘴就开喷？,2025-08-31 22:29:56,5,是,274715000000.0,2026-01-21 12:54:34,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (4),2026-01-21 14:24:37,2.0,蔡欣颖
蔡欣颖,2838,173698000000.0,星辰生灭之主,335603841.0,F证300-800,2023-07-07 18:20:32,0,否,,2026-01-21 12:14:55,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (3),2026-01-21 14:24:35,0.0,蔡欣颖
蔡欣颖,2682,263697000000.0,戦姫絶唱シンフォギア,52903320.0,看看随身带摄像头的作用，等会我也买个,2025-05-25 05:56:02,0,否,,2026-01-21 12:24:33,B站评论_BV1rTjtzgEHM_20260121_122941.xlsx,评论数据,2026-01-21 14:24:40,3.0,蔡欣颖
蔡欣颖,3379,262777000000.0,奢华莱士,49742268.0,车的资质问题,2025-05-25 23:55:33,0,是,262777000000.0,2026-01-21 12:27:07,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (8),2026-01-21 14:24:38,3.0,蔡欣颖
蔡欣颖,73,246481000000.0,设置该昵称_,1569632924.0,"1.均速但是别我给提长途，普通电瓶车的电量才多少，短途自行车大部分人都可以比25码快，我朋友公路车都能蹬到30多
2.速度从来≠危险，以我年轻的反应力和高超的技术，稳着开40码也很安全。
那些大爷大妈或者不懂交通的人，闯红灯都不看路上有没有车的弱纸（数量真的不少，下班路上有个十字路口每天都有这种人），让他开什么交通工具都危险",2024-11-07 08:07:11,118,否,,2026-01-21 12:33:31,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (9),2026-01-21 14:24:38,2.0,蔡欣颖
蔡欣颖,1244,246396000000.0,云桸,299562821.0,建议只要是带轮子的交通工具上路都要考证上牌子，别玩双标,2024-11-06 04:18:40,0,否,,2026-01-21 12:37:17,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (9),2026-01-21 14:24:38,3.0,蔡欣颖
蔡欣颖,3975,262701000000.0,承黎明之影,3944792.0,作为电摩上蓝牌就是合法上路了,2025-05-25 07:54:36,0,否,,2026-01-21 12:29:20,B站评论_BV1rTjtzgEHM_20260121_122941.xlsx,评论数据,2026-01-21 14:24:40,3.0,蔡欣颖
蔡欣颖,3531,273318000000.0,阿缪-AMU,3546730000000000.0,在锁硬件的基础上再加上从软件方面锁死吗？还是只是单方面去锁？,2025-08-31 09:48:47,0,否,,2026-01-21 13:05:24,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (4),2026-01-21 14:24:37,3.0,蔡欣颖
蔡欣颖,721,284127000000.0,睿睿很能熬,1650687533.0,那我宁愿走路也不花那冤枉钱,2025-12-02 13:01:30,0,否,,2026-01-21 12:45:27,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (10),2026-01-21 14:24:36,2.0,蔡欣颖
蔡欣颖,760,282454000000.0,硫码,1096430071.0,到时候有人组队偷坐垫怎么办,2025-12-05 00:17:21,0,否,,2026-01-21 13:08:33,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (5),2026-01-21 14:24:35,0.0,蔡欣颖
蔡欣颖,716,246640000000.0,星悦海宁,512341100.0,外卖小哥用电摩，限速25不是新国标就已经限了吗？,2024-11-09 04:06:08,0,否,,2026-01-21 12:35:14,B站评论_BV1uNDhYBERK_20260121_123942.xlsx,评论数据,2026-01-21 14:24:40,3.0,蔡欣颖
蔡欣颖,3764,262721000000.0,诸葛南墙,297509053.0,这样你不就去买新能源了吗，发展新能源电车,2025-05-25 12:40:00,0,是,262720000000.0,2026-01-21 12:28:34,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (8),2026-01-21 14:24:36,1.0,蔡欣颖
蔡欣颖,732,284402000000.0,肥腩哆,82634507.0,哈哈哈哈,2025-12-05 10:19:44,0,否,,2026-01-21 12:50:21,B站评论_BV19D2aBhEPi_20260121_125153.xlsx,评论数据,2026-01-21 14:24:34,0.0,蔡欣颖
蔡欣颖,1166,246407000000.0,Examining,410138848.0,利多剁椒鱼头,2024-11-06 10:14:53,0,否,,2026-01-21 12:36:56,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (9),2026-01-21 14:24:38,0.0,蔡欣颖
蔡欣颖,2582,284801000000.0,iaero,28272148.0,如果上班八小时，路上时间也算进去那新国标会热卖[喜极而泣],2025-12-09 06:12:34,0,否,,2026-01-21 12:13:59,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (3),2026-01-21 14:24:35,2.0,蔡欣颖
蔡欣颖,3024,273517000000.0,文不颇,354317594.0,老头买老头乐跑啊[吃瓜],2025-09-02 12:58:13,0,否,,2026-01-21 13:03:25,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (4),2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,1081,274911000000.0,Eason-young,1836182306.0,怎么办?考D照开新能源摩托车啊怎么办[吃瓜]本来这些能开上四五十kph的就是电动摩托车，本来就是要考D照的，你不考你还要开，还非说自己是电动车，那就别怪别人了[吃瓜],2025-09-02 22:21:32,1,否,,2026-01-21 12:56:02,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (4),2026-01-21 14:24:35,2.0,蔡欣颖
蔡欣颖,2388,115740000000.0,尤同学很专注,1489304330.0,哈哈[呲牙],2022-06-06 07:45:02,0,是,115671000000.0,2026-01-21 12:13:33,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (3),2026-01-21 14:24:35,0.0,蔡欣颖
